number,costPerHourPerPerson,percentage
5,0.015,0.00158831
7,0.03,0.002223634
9,0.045,0.002858958
4,0.06,0.001270648
13,0.075,0.004129606
10,0.09,0.00317662
12,0.105,0.003811944
18,0.12,0.005717916
16,0.135,0.005082592
22,0.15,0.006988564
34,0.165,0.010800508
27,0.18,0.008576874
33,0.195,0.010482846
20,0.21,0.00635324
21,0.225,0.006670902
32,0.24,0.010165184
37,0.255,0.011753494
37,0.27,0.011753494
32,0.285,0.010165184
52,0.3,0.016518424
55,0.315,0.01747141
64,0.33,0.020330368
58,0.345,0.018424396
55,0.36,0.01747141
48,0.375,0.015247776
47,0.39,0.014930114
36,0.405,0.011435832
34,0.42,0.010800508
32,0.435,0.010165184
38,0.45,0.012071156
38,0.465,0.012071156
39,0.48,0.012388818
53,0.495,0.016836086
43,0.51,0.013659466
39,0.525,0.012388818
40,0.54,0.01270648
34,0.555,0.010800508
36,0.57,0.011435832
30,0.585,0.00952986
32,0.6,0.010165184
34,0.615,0.010800508
35,0.63,0.01111817
28,0.645,0.008894536
32,0.66,0.010165184
39,0.675,0.012388818
32,0.69,0.010165184
35,0.705,0.01111817
33,0.72,0.010482846
36,0.735,0.011435832
41,0.75,0.013024142
35,0.765,0.01111817
23,0.78,0.007306226
21,0.795,0.006670902
36,0.81,0.011435832
34,0.825,0.010800508
24,0.84,0.007623888
39,0.855,0.012388818
35,0.87,0.01111817
31,0.885,0.009847522
38,0.9,0.012071156
31,0.915,0.009847522
33,0.93,0.010482846
48,0.945,0.015247776
34,0.96,0.010800508
34,0.975,0.010800508
26,0.99,0.008259212
37,1.005,0.011753494
27,1.02,0.008576874
24,1.035,0.007623888
24,1.05,0.007623888
32,1.065,0.010165184
29,1.08,0.009212198
18,1.095,0.005717916
32,1.11,0.010165184
30,1.125,0.00952986
33,1.14,0.010482846
26,1.155,0.008259212
30,1.17,0.00952986
35,1.185,0.01111817
18,1.2,0.005717916
26,1.215,0.008259212
29,1.23,0.009212198
37,1.245,0.011753494
33,1.26,0.010482846
28,1.275,0.008894536
38,1.29,0.012071156
38,1.305,0.012071156
31,1.32,0.009847522
32,1.335,0.010165184
40,1.35,0.01270648
38,1.365,0.012071156
17,1.38,0.005400254
27,1.395,0.008576874
26,1.41,0.008259212
28,1.425,0.008894536
33,1.44,0.010482846
27,1.455,0.008576874
20,1.47,0.00635324
19,1.485,0.006035578
27,1.5,0.008576874