number,costPerHour,percentage
4452,0,0.4030418251
3665,1,0.3317943147
1020,2,0.0923411190
480,3,0.0434546442
246,4,0.0222705052
170,5,0.0153901865
113,6,0.0102299475
90,7,0.0081477458
57,8,0.0051602390
63,9,0.0057034221
50,10,0.0045265254
36,11,0.0032590983
32,12,0.0028969763
19,13,0.0017200797
30,14,0.0027159153
35,15,0.0031685678
28,16,0.0025348542
21,17,0.0019011407
20,18,0.0018106102
11,19,0.0009958356
18,20,0.0016295492
14,21,0.0012674271
22,22,0.0019916712
14,23,0.0012674271
18,24,0.0016295492
11,25,0.0009958356
9,26,0.0008147746
17,27,0.0015390186
15,28,0.0013579576
8,29,0.0007242441
12,30,0.0010863661
3,31,0.0002715915
12,32,0.0010863661
9,33,0.0008147746
16,34,0.0014484881
8,35,0.0007242441
4,36,0.0003621220
5,37,0.0004526525
7,38,0.0006337136
5,39,0.0004526525
8,40,0.0007242441
3,41,0.0002715915
6,42,0.0005431831
6,43,0.0005431831
4,44,0.0003621220
6,45,0.0005431831
3,46,0.0002715915
6,47,0.0005431831
5,48,0.0004526525
6,49,0.0005431831
11,50,0.0009958356
1,51,0.0000905305
4,52,0.0003621220
7,53,0.0006337136
1,54,0.0000905305
5,55,0.0004526525
2,56,0.0001810610
1,57,0.0000905305
3,58,0.0002715915
3,59,0.0002715915
6,60,0.0005431831
1,61,0.0000905305
0,62,0.0000000000
1,63,0.0000905305
1,64,0.0000905305
2,65,0.0001810610
2,66,0.0001810610
4,67,0.0003621220
1,68,0.0000905305
2,69,0.0001810610
2,70,0.0001810610
2,71,0.0001810610
2,72,0.0001810610
2,73,0.0001810610
2,74,0.0001810610
11,75,0.0009958356
0,76,0.0000000000
0,77,0.0000000000
2,78,0.0001810610
5,79,0.0004526525
6,80,0.0005431831
2,81,0.0001810610
3,82,0.0002715915
1,83,0.0000905305
0,84,0.0000000000
0,85,0.0000000000
5,86,0.0004526525
0,87,0.0000000000
0,88,0.0000000000
3,89,0.0002715915
2,90,0.0001810610
1,91,0.0000905305
6,92,0.0005431831
2,93,0.0001810610
1,94,0.0000905305
1,95,0.0000905305
4,96,0.0003621220
0,97,0.0000000000
2,98,0.0001810610
0,99,0.0000000000
3,100,0.0002715915