number,accountValue,percentage
11577,0,0.4583135392
9682,100,0.3832937451
1399,200,0.0553840063
641,300,0.0253760887
348,400,0.0137767221
283,500,0.0112034838
184,600,0.0072842439
167,700,0.0066112431
120,800,0.0047505938
90,900,0.0035629454
84,1000,0.0033254157
75,1100,0.0029691211
60,1200,0.0023752969
48,1300,0.0019002375
43,1400,0.0017022961
32,1500,0.0012668250
44,1600,0.0017418844
34,1700,0.0013460016
23,1800,0.0009105305
29,1900,0.0011480602
25,2000,0.0009897070
24,2100,0.0009501188
18,2200,0.0007125891
18,2300,0.0007125891
10,2400,0.0003958828
16,2500,0.0006334125
16,2600,0.0006334125
11,2700,0.0004354711
13,2800,0.0005146477
2,2900,0.0000791766
4,3000,0.0001583531
2,3100,0.0000791766
3,3200,0.0001187648
9,3300,0.0003562945
10,3400,0.0003958828
6,3500,0.0002375297
5,3600,0.0001979414
7,3700,0.0002771180
1,3800,0.0000395883
3,3900,0.0001187648
7,4000,0.0002771180
8,4100,0.0003167063
2,4200,0.0000791766
1,4300,0.0000395883
6,4400,0.0002375297
2,4500,0.0000791766
3,4600,0.0001187648
5,4700,0.0001979414
1,4800,0.0000395883
1,4900,0.0000395883
4,5000,0.0001583531
1,5100,0.0000395883
1,5200,0.0000395883
2,5300,0.0000791766
2,5400,0.0000791766
2,5500,0.0000791766
6,5600,0.0002375297
4,5700,0.0001583531
3,5800,0.0001187648
1,5900,0.0000395883
3,6000,0.0001187648
2,6100,0.0000791766
1,6200,0.0000395883
0,6300,0.0000000000
1,6400,0.0000395883
0,6500,0.0000000000
3,6600,0.0001187648
0,6700,0.0000000000
1,6800,0.0000395883
0,6900,0.0000000000
0,7000,0.0000000000
0,7100,0.0000000000
1,7200,0.0000395883
1,7300,0.0000395883
0,7400,0.0000000000
0,7500,0.0000000000
0,7600,0.0000000000
0,7700,0.0000000000
0,7800,0.0000000000
1,7900,0.0000395883
0,8000,0.0000000000
0,8100,0.0000000000
1,8200,0.0000395883
1,8300,0.0000395883
0,8400,0.0000000000
0,8500,0.0000000000
0,8600,0.0000000000
1,8700,0.0000395883
0,8800,0.0000000000
1,8900,0.0000395883
0,9000,0.0000000000
0,9100,0.0000000000
0,9200,0.0000000000
0,9300,0.0000000000
1,9400,0.0000395883
0,9500,0.0000000000
0,9600,0.0000000000
0,9700,0.0000000000
1,9800,0.0000395883
0,9900,0.0000000000
0,10000,0.0000000000
0,10100,0.0000000000
0,10200,0.0000000000
0,10300,0.0000000000
0,10400,0.0000000000
0,10500,0.0000000000
0,10600,0.0000000000
0,10700,0.0000000000
0,10800,0.0000000000
0,10900,0.0000000000
1,11000,0.0000395883
1,11100,0.0000395883
0,11200,0.0000000000
0,11300,0.0000000000
0,11400,0.0000000000
0,11500,0.0000000000
0,11600,0.0000000000
0,11700,0.0000000000
1,11800,0.0000395883
0,11900,0.0000000000
0,12000,0.0000000000
1,12100,0.0000395883
0,12200,0.0000000000
0,12300,0.0000000000
1,12400,0.0000395883
0,12500,0.0000000000
0,12600,0.0000000000
0,12700,0.0000000000
0,12800,0.0000000000
0,12900,0.0000000000
0,13000,0.0000000000
0,13100,0.0000000000
0,13200,0.0000000000
0,13300,0.0000000000
0,13400,0.0000000000
0,13500,0.0000000000
1,13600,0.0000395883
0,13700,0.0000000000
0,13800,0.0000000000
0,13900,0.0000000000
0,14000,0.0000000000
0,14100,0.0000000000
1,14200,0.0000395883
0,14300,0.0000000000
0,14400,0.0000000000
0,14500,0.0000000000
1,14600,0.0000395883
0,14700,0.0000000000
0,14800,0.0000000000
0,14900,0.0000000000
0,15000,0.0000000000
0,15100,0.0000000000
1,15200,0.0000395883
0,15300,0.0000000000
0,15400,0.0000000000
0,15500,0.0000000000
1,15600,0.0000395883
0,15700,0.0000000000
0,15800,0.0000000000
0,15900,0.0000000000
0,16000,0.0000000000
0,16100,0.0000000000
0,16200,0.0000000000
0,16300,0.0000000000
0,16400,0.0000000000
0,16500,0.0000000000
0,16600,0.0000000000
0,16700,0.0000000000
0,16800,0.0000000000
0,16900,0.0000000000
0,17000,0.0000000000
0,17100,0.0000000000
0,17200,0.0000000000
0,17300,0.0000000000
0,17400,0.0000000000
0,17500,0.0000000000
0,17600,0.0000000000
1,17700,0.0000395883
0,17800,0.0000000000
0,17900,0.0000000000
0,18000,0.0000000000
0,18100,0.0000000000
0,18200,0.0000000000
0,18300,0.0000000000
0,18400,0.0000000000
0,18500,0.0000000000
0,18600,0.0000000000
0,18700,0.0000000000
0,18800,0.0000000000
0,18900,0.0000000000
0,19000,0.0000000000
0,19100,0.0000000000
0,19200,0.0000000000
0,19300,0.0000000000
0,19400,0.0000000000
0,19500,0.0000000000
0,19600,0.0000000000
0,19700,0.0000000000
0,19800,0.0000000000
0,19900,0.0000000000
0,20000,0.0000000000
0,20100,0.0000000000
0,20200,0.0000000000
0,20300,0.0000000000
1,20400,0.0000395883